company_id,year,revenue,net_income,total_assets,total_liabilities,cash_flow,eps
C001,2023,383285,96995,352583,290437,110543,6.13
C001,2024,391035,93736,364980,308030,118254,6.08
C001,2025,416161,112010,359241,302417,127250,7.31
C002,2023,211915,72361,411976,205753,87582,9.68
C002,2024,245122,88136,512163,243686,105349,11.80
C002,2025,281724,101832,619640,273761,136980,13.67
C003,2023,574785,30425,527854,430123,84946,2.90
C003,2024,637959,59248,624316,527854,115877,5.53
C003,2025,716924,77520,718112,602941,139500,7.12
C004,2023,158104,49655,3801094,3520400,0,16.23
C004,2024,177556,58261,4002776,3700122,0,19.55
C004,2025,186330,58472,4170938,3850110,0,20.12
C005,2023,85159,13214,167992,101731,21352,5.01
C005,2024,88821,14355,182689,111472,22871,5.54
C005,2025,93775,15960,190213,114908,25120,6.20
C006,2023,334697,36010,376317,163889,55380,13.20
C006,2024,349426,33680,359650,169011,55600,12.88
C006,2025,339247,52042,418062,178990,67890,15.32
C007,2023,82006,14930,120659,72345,16110,5.98
C007,2024,84039,14653,121765,74412,16192,6.02
C007,2025,84291,15294,124310,75520,17420,6.37
C008,2023,26974,4368,65728,15403,5641,1.76
C008,2024,60922,29760,111601,22348,28090,11.93
C008,2025,130497,72880,146073,29017,61880,29.17
C009,2023,648125,15511,243446,161817,13870,5.70
C009,2024,648125,15511,252399,163660,20720,6.05
C009,2025,681413,19995,277800,179300,23650,7.01
C010,2023,307394,73795,402392,119743,101746,5.80
C010,2024,350018,100118,450256,125760,112800,8.04
C010,2025,402836,132318,520117,137420,142600,10.75
