company_name,avg_revenue_growth_pct,avg_profit_margin_pct,avg_roa_pct,avg_debt_to_asset_pct,avg_eps_growth_pct,revenue_growth_rank,profitability_rank,roa_rank,leverage_rank,eps_growth_rank,growth_score,profitability_score,roa_score,leverage_score,eps_score,financial_score,financial_rank
NVIDIA Corp.,120.025,40.29666666666667,27.736666666666668,21.103333333333335,361.175,1.0,1.0,2.0,1.0,1.0,100.0,100.0,98.55361596009975,100.0,100.0,99.71072319201996,1
Alphabet Inc.,14.48,28.486666666666668,22.006666666666664,28.036666666666665,36.165,3.0,4.0,3.0,2.0,3.0,11.514922870556672,68.69588266478178,77.11970074812966,90.28309819676727,9.19859751072122,50.283079621592044,2
Microsoft Corp.,15.3,35.419999999999995,17.066666666666666,47.23333333333333,18.875,2.0,2.0,4.0,4.0,4.0,12.202380952380953,87.07368793072979,58.640897755610965,63.379426329066625,4.368111528629499,46.317613979366726,3
Apple Inc.,4.225,25.400000000000002,28.123333333333335,83.65,9.705,7.0,5.0,1.0,9.0,8.0,2.9175050301810863,60.51422512811452,100.0,12.342333925067734,1.806193862014053,37.924646149227826,4
Procter & Gamble Co.,1.39,17.930000000000003,12.233333333333334,60.60666666666666,3.2399999999999998,9.0,6.0,5.0,5.0,10.0,0.5407444668008047,40.71390705071568,40.561097256857856,44.637017658600385,0.0,25.094397756200706,5
Exxon Mobil Corp.,0.7450000000000001,11.913333333333334,10.459999999999999,44.449999999999996,8.260000000000002,10.0,8.0,6.0,3.0,9.0,0.0,24.765859692525183,33.927680798004985,67.28020181257591,1.402489278779667,23.349529210374612,6
Johnson & Johnson,4.9399999999999995,16.233333333333334,8.040000000000001,60.663333333333334,11.245000000000001,6.0,7.0,8.0,6.0,6.0,3.51693494299128,36.21664605053896,24.87531172069826,44.557600672708574,2.236439577018174,21.863538861682567,7
JPMorgan Chase & Co.,8.620000000000001,31.866666666666664,1.39,92.45666666666666,11.690000000000001,5.0,3.0,10.0,10.0,5.0,6.602112676056339,77.65506273193142,0.0,0.0,2.3607638258342996,21.206340983360985,8
Amazon.com Inc.,11.685,8.463333333333333,8.68,83.33333333333333,59.72,4.0,9.0,7.0,8.0,2.0,9.171696847753187,15.62113447605584,27.269326683291773,12.786134728580777,15.77940128794334,16.26728879209874,9
Walmart Inc.,2.57,2.5700000000000003,6.573333333333333,65.28333333333335,11.004999999999999,8.0,10.0,9.0,7.0,7.0,1.5300134138162305,0.0,19.389027431421447,38.082780528823676,2.169388296757791,10.330102907722647,10
