company_id,year,revenue,net_income,total_assets,total_liabilities,cash_flow,eps,company_name,ticker,sector,industry,profit_margin_pct,roa_pct,debt_to_asset_pct,cash_flow_margin_pct,revenue_growth_pct,net_income_growth_pct,eps_growth_pct
C001,2023,383285,96995,352583,290437,110543,6.13,Apple Inc.,AAPL,Technology,Consumer Electronics,25.31,27.51,82.37,28.84,,,
C001,2024,391035,93736,364980,308030,118254,6.08,Apple Inc.,AAPL,Technology,Consumer Electronics,23.97,25.68,84.4,30.24,2.02,-3.36,-0.82
C001,2025,416161,112010,359241,302417,127250,7.31,Apple Inc.,AAPL,Technology,Consumer Electronics,26.92,31.18,84.18,30.58,6.43,19.5,20.23
C002,2023,211915,72361,411976,205753,87582,9.68,Microsoft Corp.,MSFT,Technology,Software,34.15,17.56,49.94,41.33,,,
C002,2024,245122,88136,512163,243686,105349,11.8,Microsoft Corp.,MSFT,Technology,Software,35.96,17.21,47.58,42.98,15.67,21.8,21.9
C002,2025,281724,101832,619640,273761,136980,13.67,Microsoft Corp.,MSFT,Technology,Software,36.15,16.43,44.18,48.62,14.93,15.54,15.85
C003,2023,574785,30425,527854,430123,84946,2.9,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet Retail,5.29,5.76,81.49,14.78,,,
C003,2024,637959,59248,624316,527854,115877,5.53,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet Retail,9.29,9.49,84.55,18.16,10.99,94.73,90.69
C003,2025,716924,77520,718112,602941,139500,7.12,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet Retail,10.81,10.79,83.96,19.46,12.38,30.84,28.75
C004,2023,158104,49655,3801094,3520400,0,16.23,JPMorgan Chase & Co.,JPM,Financials,Banks,31.41,1.31,92.62,0.0,,,
C004,2024,177556,58261,4002776,3700122,0,19.55,JPMorgan Chase & Co.,JPM,Financials,Banks,32.81,1.46,92.44,0.0,12.3,17.33,20.46
C004,2025,186330,58472,4170938,3850110,0,20.12,JPMorgan Chase & Co.,JPM,Financials,Banks,31.38,1.4,92.31,0.0,4.94,0.36,2.92
C005,2023,85159,13214,167992,101731,21352,5.01,Johnson & Johnson,JNJ,Healthcare,Pharmaceuticals,15.52,7.87,60.56,25.07,,,
C005,2024,88821,14355,182689,111472,22871,5.54,Johnson & Johnson,JNJ,Healthcare,Pharmaceuticals,16.16,7.86,61.02,25.75,4.3,8.63,10.58
C005,2025,93775,15960,190213,114908,25120,6.2,Johnson & Johnson,JNJ,Healthcare,Pharmaceuticals,17.02,8.39,60.41,26.79,5.58,11.18,11.91
C006,2023,334697,36010,376317,163889,55380,13.2,Exxon Mobil Corp.,XOM,Energy,Oil & Gas,10.76,9.57,43.55,16.55,,,
C006,2024,349426,33680,359650,169011,55600,12.88,Exxon Mobil Corp.,XOM,Energy,Oil & Gas,9.64,9.36,46.99,15.91,4.4,-6.47,-2.42
C006,2025,339247,52042,418062,178990,67890,15.32,Exxon Mobil Corp.,XOM,Energy,Oil & Gas,15.34,12.45,42.81,20.01,-2.91,54.52,18.94
C007,2023,82006,14930,120659,72345,16110,5.98,Procter & Gamble Co.,PG,Consumer Staples,Household Products,18.21,12.37,59.96,19.64,,,
C007,2024,84039,14653,121765,74412,16192,6.02,Procter & Gamble Co.,PG,Consumer Staples,Household Products,17.44,12.03,61.11,19.27,2.48,-1.86,0.67
C007,2025,84291,15294,124310,75520,17420,6.37,Procter & Gamble Co.,PG,Consumer Staples,Household Products,18.14,12.3,60.75,20.67,0.3,4.37,5.81
C008,2023,26974,4368,65728,15403,5641,1.76,NVIDIA Corp.,NVDA,Technology,Semiconductors,16.19,6.65,23.43,20.91,,,
C008,2024,60922,29760,111601,22348,28090,11.93,NVIDIA Corp.,NVDA,Technology,Semiconductors,48.85,26.67,20.02,46.11,125.85,581.32,577.84
C008,2025,130497,72880,146073,29017,61880,29.17,NVIDIA Corp.,NVDA,Technology,Semiconductors,55.85,49.89,19.86,47.42,114.2,144.89,144.51
C009,2023,648125,15511,243446,161817,13870,5.7,Walmart Inc.,WMT,Consumer Staples,Consumer Retail,2.39,6.37,66.47,2.14,,,
C009,2024,648125,15511,252399,163660,20720,6.05,Walmart Inc.,WMT,Consumer Staples,Consumer Retail,2.39,6.15,64.84,3.2,0.0,0.0,6.14
C009,2025,681413,19995,277800,179300,23650,7.01,Walmart Inc.,WMT,Consumer Staples,Consumer Retail,2.93,7.2,64.54,3.47,5.14,28.91,15.87
C010,2023,307394,73795,402392,119743,101746,5.8,Alphabet Inc.,GOOGL,Communication Services,Internet Services,24.01,18.34,29.76,33.1,,,
C010,2024,350018,100118,450256,125760,112800,8.04,Alphabet Inc.,GOOGL,Communication Services,Internet Services,28.6,22.24,27.93,32.23,13.87,35.67,38.62
C010,2025,402836,132318,520117,137420,142600,10.75,Alphabet Inc.,GOOGL,Communication Services,Internet Services,32.85,25.44,26.42,35.4,15.09,32.16,33.71
