table_name,source_file,id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,operating_activity,investing_activity,financing_activity,net_cash_flow,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,annual_report,pros,cons,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
profitandloss,profitandloss.xlsx,1263,ULTRACEMCO,2013,20514,15674,4839,24,304,252,1023,3867,30,2688,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1264,ULTRACEMCO,2014,20730,16695,4035,19,322,361,1139,2858,23,2213,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1265,ULTRACEMCO,2015,23306,18881,4425,19,350,587,1203,2986,30,2102,76,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1266,ULTRACEMCO,2016,25153,20252,4901,19,464,566,1377,3421,28,2480,90,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1267,ULTRACEMCO,2017,25375,20162,5212,21,648,640,1348,3872,30,2714,99,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1268,ULTRACEMCO,2018,30979,24834,6145,20,242,1238,1848,3301,33,2224,81,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1269,ULTRACEMCO,2019,41462,34115,7347,18,350,1778,2451,3468,31,2400,88,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1270,ULTRACEMCO,2020,42430,33184,9246,22,651,1992,2723,5183,-11,5751,199,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1271,ULTRACEMCO,2021,44726,33158,11568,26,619,1486,2700,8001,32,5462,189,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1272,ULTRACEMCO,2022,52599,41084,11514,22,669,945,2715,8524,14,7334,254,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1273,ULTRACEMCO,2023,63240,52620,10620,17,507,823,2888,7416,32,5073,175,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1274,ULTRACEMCO,2024,70908,57940,12969,18,567,968,3145,9422,26,7004,243,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1275,ULTRACEMCO,TTM,71317,59261,12056,17,739,1216,3478,8101,,6252,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1276,UNIONBANK,2013,25169,7268,325,1,2868,17575,156,3037,30,2146,36,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1277,UNIONBANK,2014,29394,8829,-902,-3,3141,21467,198,2040,18,1687,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1278,UNIONBANK,2015,32164,9498,-973,-3,3957,23640,225,2759,36,1771,28,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1279,UNIONBANK,2016,32316,10349,-1928,-6,3934,23894,249,1758,24,1347,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1280,UNIONBANK,2017,32817,13871,-4830,-15,5430,23771,241,359,-58,573,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1281,UNIONBANK,2018,32952,21181,-11700,-36,5462,23471,368,-6607,-21,-5212,-45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1282,UNIONBANK,2019,34314,19019,-8601,-25,5042,23896,374,-3933,-25,-2922,-17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1283,UNIONBANK,2020,37479,21166,-9523,-25,5789,25837,417,-4151,-27,-3121,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1284,UNIONBANK,2021,69311,36270,-11071,-16,14307,44112,908,2327,-22,2863,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1285,UNIONBANK,2022,68230,32264,-4213,-6,13524,40178,745,8566,39,5265,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1286,UNIONBANK,2023,81163,36155,-3024,-4,15915,48033,745,12147,31,8512,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1287,UNIONBANK,2024,100376,32422,4590,5,17813,63364,895,21508,36,13797,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1288,UNIONBANK,TTM,107058,35514,2090,2,20440,69454,0,22530,,16344,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1289,UNITDSPR,2013,10378,9287,1091,11,146,985,178,73,99,-105,-2,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1290,UNITDSPR,2014,10508,13876,-3368,-32,681,1323,203,-4213,7,-4489,-62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1291,UNITDSPR,2015,9254,9619,-366,-4,-360,687,223,-1635,3,-1687,-23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1292,UNITDSPR,2016,8495,8162,333,4,648,457,157,366,61,143,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1293,UNITDSPR,2017,8818,7826,991,11,-265,375,189,163,43,93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1294,UNITDSPR,2018,8591,7381,1209,14,172,278,192,912,28,652,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1295,UNITDSPR,2019,9341,7947,1394,15,70,237,215,1012,32,684,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1296,UNITDSPR,2020,9325,7756,1569,17,89,212,285,1160,47,621,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1297,UNITDSPR,2021,8131,7080,1051,13,-25,188,299,540,33,362,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1298,UNITDSPR,2022,9712,8117,1595,16,-117,88,304,1087,25,811,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1299,UNITDSPR,2023,10612,9195,1417,13,249,104,283,1279,12,1126,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1300,UNITDSPR,2024,11321,9321,2000,18,208,76,275,1857,24,1408,19,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1301,UNITDSPR,TTM,11821,9710,2111,18,176,96,286,1905,,1402,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1302,VBL,2012,1800,1572,228,13,44,116,136,21,-20,25,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1303,VBL,2013,2115,1824,291,14,19,171,184,-46,-11,-40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1304,VBL,2014,2502,2116,387,15,14,187,210,4,99,-20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1305,VBL,2015,3394,2752,642,19,36,170,317,191,41,113,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1306,VBL,2016,3861,3052,810,21,27,435,322,79,39,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1307,VBL,2017,4004,3165,838,21,14,215,347,291,26,214,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1308,VBL,2018,5105,4069,1036,20,6,223,385,434,31,300,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1309,VBL,2019,7130,5667,1462,21,47,324,489,696,32,472,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1310,VBL,2020,6450,5235,1215,19,-30,294,529,363,1,357,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1311,VBL,2021,8823,7129,1694,19,51,207,531,1007,26,746,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1312,VBL,2022,13173,10310,2863,22,-18,204,617,2024,23,1550,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1313,VBL,2023,16043,12326,3717,23,-5,292,681,2739,23,2102,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1314,VBL,TTM,18987,14438,4549,24,86,415,853,3367,,2582,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1315,VEDL,2013,2749,2283,465,17,33,475,197,-174,-25,2280,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1316,VEDL,2014,66152,46557,19595,30,1874,5094,6882,9493,-9,11421,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1317,VEDL,2015,73710,51595,22114,30,-19222,5659,7159,-9925,15,-11369,-53,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1318,VEDL,2016,64262,82741,-18479,-29,4290,5778,8572,-28540,-37,-17862,-41,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1319,VEDL,2017,72225,50849,21376,30,4423,5855,6292,13652,17,11316,23,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1320,VEDL,2018,91866,66989,24877,27,6087,5112,6283,19569,30,13692,28,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1321,VEDL,2019,92048,68877,23171,25,4270,5689,8192,13560,28,9698,19,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1322,VEDL,2020,84447,63704,20743,25,-14932,4977,9093,-8259,-43,-4744,-18,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1323,VEDL,2021,88021,60703,27318,31,2743,5210,7638,17213,13,15032,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1324,VEDL,2022,132732,87908,44824,34,1832,4797,8895,32964,28,23710,51,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1325,VEDL,2023,147308,112877,34431,23,2625,6225,10555,20276,28,14503,28,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1326,VEDL,2024,143727,108415,35312,25,5239,9465,10723,20363,63,7539,11,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1327,VEDL,TTM,144448,107376,37072,26,5266,9721,10958,21659,,15841,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1328,WIPRO,2013,37430,29773,7657,20,1440,289,940,7869,21,6182,5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profitandloss,profitandloss.xlsx,1329,WIPRO,2014,43424,33788,9635,22,1922,383,1060,10114,21,7991,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
